Date;Action;Ressource;Utilisateur;Détails;ID Ressource
18/04/2026 10:51:55;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:51:54;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:51:42;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:51:27;Modification;Testimonials;Eric RIZUX;"PATCH /api/v1/testimonials/45e6d634-8439-469d-87ec-6acd9169d69d/toggle-active";45e6d634-8439-469d-87ec-6acd9169d69d
18/04/2026 10:51:24;Modification;Testimonials;Eric RIZUX;"PATCH /api/v1/testimonials/45e6d634-8439-469d-87ec-6acd9169d69d/toggle-active";45e6d634-8439-469d-87ec-6acd9169d69d
18/04/2026 10:51:15;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:51:15;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:47:16;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:47:12;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 10:47:08;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:47:08;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:47:04;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:47:01;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:45:35;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:45:32;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:45:30;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:45:29;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:46;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:46;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:20;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:05;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:01;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:44:01;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:55;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:50;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:47;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:42;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:23;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 10:43:12;Création;Audit;Eric RIZUX;"POST /api/v1/audit";
18/04/2026 10:43:12;Bascule;Bannière;Eric RIZUX;"Bannière ""Bon achat à vous 💕😊😊😊😊😊"" désactivée";1b5be393-18d2-4569-b32d-6c0a0efcc253
18/04/2026 10:43:12;Modification;Banners;Eric RIZUX;"PATCH /api/v1/banners/1b5be393-18d2-4569-b32d-6c0a0efcc253/toggle";1b5be393-18d2-4569-b32d-6c0a0efcc253
18/04/2026 10:43:12;Création;Audit;Eric RIZUX;"POST /api/v1/audit";
18/04/2026 10:43:11;Bascule;Bannière;Eric RIZUX;"Bannière ""Soldes flash -20%"" désactivée";212f7fdd-46fe-49ae-b460-be50a0e6104d
18/04/2026 10:43:11;Modification;Banners;Eric RIZUX;"PATCH /api/v1/banners/212f7fdd-46fe-49ae-b460-be50a0e6104d/toggle";212f7fdd-46fe-49ae-b460-be50a0e6104d
18/04/2026 10:43:11;Création;Audit;Eric RIZUX;"POST /api/v1/audit";
18/04/2026 10:43:11;Bascule;Bannière;Eric RIZUX;"Bannière ""dthfjfgjfg"" désactivée";4d362633-135d-4ce4-ac2e-f3946dad8f79
18/04/2026 10:43:10;Modification;Banners;Eric RIZUX;"PATCH /api/v1/banners/4d362633-135d-4ce4-ac2e-f3946dad8f79/toggle";4d362633-135d-4ce4-ac2e-f3946dad8f79
